Locație,Numărul total de cazuri,Cazuri noi (o zi*),Cazuri noi (în ultimele 60 zile),Cazuri la un milion de persoane,Decese
Toată lumea,Nu există date,Nu există date,,Nu există date,Nu există date
Statele Unite ale Americii,20.464.766,291.384,,62.098,350.329
India,10.323.965,37.256,,7.588,149.435
Brazilia,7.716.405,15.827,,36.512,195.725
Rusia,3.179.898,25.938,,21.670,57.235
Franţa,2.639.404,3.359,,39.349,64.555
Regatul Unit,2.599.789,57.724,,39.132,74.570
Turcia,2.232.035,11.180,,26.842,21.295
Italia,2.141.201,11.825,,35.542,74.985
Spania,1.928.265,0,,40.939,50.837
Germania,1.773.540,10.903,,21.330,34.480
Columbia,1.666.408,11.528,,33.736,43.765
Argentina,1.634.834,5.240,,36.379,43.375
Mexic,1.443.544,6.359,,11.404,126.851
Polonia,1.312.780,7.006,,34.206,29.058
Iran,1.237.474,6.045,,14.850,55.438
Ucraina,1.102.256,5.401,,26.319,19.498
Africa de Sud,1.088.889,15.002,,18.526,29.175
Peru,1.015.137,0,,31.593,37.680
Olanda,813.765,8.601,,46.631,11.565
Indonezia,758.473,7.203,,2.842,22.555
Republica Cehă,735.469,3.447,,68.774,11.827
Belgia,649.169,880,,56.330,19.644
România,637.395,1.194,,32.847,15.919
Chile,615.902,3.338,,32.234,16.724
Irak,597.033,840,,15.258,12.829
Bangladesh,515.184,684,,3.060,7.599
Pakistan,486.634,2.272,,2.221,10.311
Filipine,476.916,1.096,,4.396,9.253
Canada,460.743,Nu există date,,12.131,13.431
Elveţia,452.296,0,,52.675,7.729
Maroc,442.141,1.171,,12.331,7.452
Suedia,437.379,0,,42.326,8.727
Israel,434.799,6.289,,47.364,3.392
Portugalia,423.870,3.241,,41.246,7.045
Austria,364.302,1.391,,40.921,6.275
Arabia Saudită,362.979,101,,10.608,6.239
Serbia,341.904,1.907,,49.098,3.288
Ungaria,326.688,1.410,,33.428,9.781
Iordania,296.668,903,,27.858,3.877
Nepal,261.438,419,,8.716,1.870
Panama,251.764,2.031,,59.677,4.103
Japonia,242.097,3.029,,1.922,3.369
Georgia,228.752,342,,61.435,2.572
Azerbaidjan,219.462,421,,21.800,2.703
Ecuador,214.513,1.135,,12.288,14.059
Croaţia,212.262,255,,52.073,4.016
Emiratele Arabe Unite,211.641,1.963,,21.399,674
Bulgaria,202.880,340,,28.983,7.644
Kazahstan,202.880,820,,10.864,2.770
Belarus,198.125,1.902,,21.047,1.442
Liban,186.408,2.520,,27.311,1.489
Slovacia,186.244,1.736,,34.133,2.250
Republica Dominicană,172.965,747,,16.698,2.416
Costa Rica,169.321,0,,33.476,2.185
Danemarca,167.541,1.611,,28.773,1.345
Bolivia,162.055,1.070,,14.129,9.186
Armenia,159.798,60,,54.031,2.836
Kuwait,151.074,205,,34.179,937
Moldova,145.694,436,,54.328,3.020
Lituania,145.399,1.496,,52.050,1.614
Qatar,144.240,198,,52.503,245
Tunisia,141.979,1.422,,12.112,4.765
Egipt,140.878,1.407,,1.406,7.741
Guatemala,138.316,80,,8.330,4.827
Grecia,133.365,Nu există date,,12.435,4.402
Oman,128.867,0,,27.625,1.499
Myanmar (Birmania),125.616,574,,2.312,2.711
Etiopia,125.049,397,,1.267,1.944
Palestina,124.657,Nu există date,,25.048,1.079
Slovenia,124.343,393,,59.379,2.774
Honduras,123.144,170,,13.446,3.173
Malaysia,117.373,2.295,,3.585,483
Venezuela,114.083,199,,3.541,1.032
Bosnia şi Herţegovina,112.143,0,,33.972,4.086
Paraguay,108.718,369,,15.200,2.279
Libia,100.744,0,,14.662,1.487
Algeria,100.159,262,,2.329,2.769
Irlanda,96.926,3.394,,19.694,2.252
Kenya,96.678,64,,2.033,1.685
Bahrain,93.184,271,,60.380,352
Nigeria,89.163,576,,433,1.302
Macedonia de Nord,83.789,46,,40.339,2.522
Kirghizstan,81.214,58,,12.430,1.358
Uzbekistan,77.182,0,,2.263,614
Coreea de Sud,63.244,651,,1.221,962
Albania,58.991,675,,20.728,1.190
Singapore,58.662,33,,10.285,29
Ghana,55.064,134,,1.818,335
Afganistan,51.526,0,,1.599,2.191
Kosovo,51.502,0,,28.681,1.336
Norvegia,50.266,463,,9.365,436
Muntenegru,48.856,267,,78.501,684
Luxemburg,46.415,0,,75.608,495
El Salvador,45.415,Nu există date,,7.002,1.313
Sri Lanka,44.371,515,,2.035,211
Letonia,41.929,314,,21.989,668
Finlanda,36.604,201,,6.622,561
Uganda,35.712,201,,886,274
Estonia,28.789,383,,21.673,241
Australia,28.031,Nu există date,,1.092,908
Camerun,26.848,0,,1.011,448
Cipru,23.445,627,,26.767,129
Sudan,23.316,0,,550,1.468
